"Date","Country","Status","Color","Type","Value"
2022-07-03,"West Bank and Gaza","Confirmed","#D6604D","Count per 10K",1408.43756670224
2022-07-03,"West Bank and Gaza","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Kuwait","Confirmed","#D6604D","Total Count",644451
2022-07-03,"Kuwait","Confirmed","#D6604D","Count per 10K",1590.059215396
2022-07-03,"Kuwait","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Bahrain","Confirmed","#D6604D","Total Count",630059
2022-07-03,"Bahrain","Confirmed","#D6604D","Count per 10K",4421.46666666667
2022-07-03,"Bahrain","Confirmed","#D6604D","New Cases per 10K",9.23508771929825
2022-07-03,"Burma","Confirmed","#D6604D","Total Count",613648
2022-07-03,"Burma","Confirmed","#D6604D","Count per 10K",116.034414295169
2022-07-03,"Burma","Confirmed","#D6604D","New Cases per 10K",0.00113453720336579
2022-07-03,"Dominican Republic","Confirmed","#D6604D","Total Count",608176
2022-07-03,"Dominican Republic","Confirmed","#D6604D","Count per 10K",571.110902432153
2022-07-03,"Dominican Republic","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Estonia","Confirmed","#D6604D","Total Count",580114
2022-07-03,"Estonia","Confirmed","#D6604D","Count per 10K",4421.6006097561
2022-07-03,"Estonia","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Venezuela","Confirmed","#D6604D","Total Count",526688
2022-07-03,"Venezuela","Confirmed","#D6604D","Count per 10K",166.842372022301
2022-07-03,"Venezuela","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Moldova","Confirmed","#D6604D","Total Count",520321
2022-07-03,"Moldova","Confirmed","#D6604D","Count per 10K",1281.57881773399
2022-07-03,"Moldova","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Egypt","Confirmed","#D6604D","Total Count",515645
2022-07-03,"Egypt","Confirmed","#D6604D","Count per 10K",53.8875941853296
2022-07-03,"Egypt","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Cyprus","Confirmed","#D6604D","Total Count",515596
2022-07-03,"Cyprus","Confirmed","#D6604D","Count per 10K",4406.80341880342
2022-07-03,"Cyprus","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Libya","Confirmed","#D6604D","Total Count",502138
2022-07-03,"Libya","Confirmed","#D6604D","Count per 10K",797.931034482759
2022-07-03,"Libya","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Ethiopia","Confirmed","#D6604D","Total Count",489341
2022-07-03,"Ethiopia","Confirmed","#D6604D","Count per 10K",47.7858070564339
2022-07-03,"Ethiopia","Confirmed","#D6604D","New Cases per 10K",0.00839819145923459
2022-07-03,"Honduras","Confirmed","#D6604D","Total Count",427718
2022-07-03,"Honduras","Confirmed","#D6604D","Count per 10K",469.349281246571
2022-07-03,"Honduras","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Armenia","Confirmed","#D6604D","Total Count",423243
2022-07-03,"Armenia","Confirmed","#D6604D","Count per 10K",1446.98461538462
2022-07-03,"Armenia","Confirmed","#D6604D","New Cases per 10K",0
